iter	Logloss
0	0.6927423462
1	0.6921179236
2	0.6914130837
3	0.6904712505
4	0.6896493884
5	0.6882155625
6	0.688206583
7	0.6875218027
8	0.6866609615
9	0.6862984176
10	0.685423878
11	0.6844366858
12	0.6838668746
13	0.6834400343
14	0.682643217
15	0.6824410791
16	0.6821998634
17	0.6815804715
18	0.6807246192
19	0.6799076169
20	0.679482328
21	0.6794145305
22	0.67928074
23	0.6783030731
24	0.6769375716
25	0.6765823846
26	0.6761119222
27	0.6756622595
28	0.6752747325
29	0.6746471012
30	0.6737622785
31	0.6735697467
32	0.6726408535
33	0.672269799
34	0.6713743154
35	0.6711556337
36	0.6706183184
37	0.6705975773
38	0.6705910274
39	0.6704611796
40	0.6702200525
41	0.6694175114
42	0.6684153061
43	0.6672997775
44	0.6670087004
45	0.6665436312
46	0.665951261
47	0.6654057304
48	0.665301174
49	0.664772274
50	0.664120898
51	0.6640808726
52	0.6636511963
53	0.6628608057
54	0.6627088839
55	0.6621398507
56	0.6621310114
57	0.6616076273
58	0.6610654246
59	0.661013708
60	0.6609077531
61	0.6601538043
62	0.659638576
63	0.6592815788
64	0.6591505446
65	0.6588431767
66	0.6585173386
67	0.6585147223
68	0.6581121239
69	0.6580318017
70	0.6579437263
71	0.6575703491
72	0.6572217351
73	0.6568899372
74	0.6563675763
75	0.6560900865
76	0.6560412224
77	0.6557162478
78	0.6553167061
79	0.6549021908
80	0.6543140147
81	0.6542160588
82	0.6540742384
83	0.6537336403
84	0.6532953752
85	0.6528785901
86	0.6515439304
87	0.6508182166
88	0.6505100906
89	0.6502060331
90	0.6494810788
91	0.6484916923
92	0.6477296391
93	0.6471526348
94	0.6465961167
95	0.6455106612
96	0.6453073059
97	0.6446684967
98	0.6440251612
99	0.6433527408
100	0.6427723953
101	0.6422259002
102	0.6421102177
103	0.6414128411
104	0.6412907776
105	0.6407986348
106	0.6403581429
107	0.6402988382
108	0.6399723816
109	0.6394852421
110	0.6386760773
111	0.6386642216
112	0.6383344861
113	0.6378772472
114	0.6374948076
115	0.6374945786
116	0.6367043317
117	0.6363793983
118	0.6361938471
119	0.6356431726
120	0.6355182872
121	0.634806982
122	0.6347800995
123	0.6344021504
124	0.6344000747
125	0.6343811328
126	0.6339954011
127	0.6338326959
128	0.6335612951
129	0.6330166928
130	0.6327054725
131	0.6323848426
132	0.6321002854
133	0.6316058813
134	0.6315787796
135	0.6309286558
136	0.6304913557
137	0.6299211121
138	0.6295098259
139	0.6294802305
140	0.6289197134
141	0.6287051545
142	0.6283333691
143	0.6276781924
144	0.6268355302
145	0.6268355213
146	0.6265889381
147	0.6265889304
148	0.6262665287
149	0.6255175419
150	0.6254903927
151	0.62509322
152	0.6242247604
153	0.6238070836
154	0.623208543
